"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"297","21.664250","host","3.6.0","USBHID","154","0019000000380f030000000010a600bca600bca600bca600bca600bca600bca600bca600bca600bca600bca600bca600bca600bca600bca600bca600bca600bc0000000000000000000000000000000000000000000000003e00","SET_REPORT Request"
"298","21.664551","3.6.0","host","USBHID","64","","SET_REPORT Response"
"299","21.702960","host","3.6.0","USBHID","154","001a000000380f030000000010a900bea900bea900bea900bea900bea900bea900bea900bea900bea900bea900bea900bea900bea900bea900bea900bea900be0000000000000000000000000000000000000000000000003300","SET_REPORT Request"
"300","21.703233","3.6.0","host","USBHID","64","","SET_REPORT Response"
"301","21.785288","host","3.6.0","USBHID","154","001b000000380f030000000010b000c1b000c1b000c1b000c1b000c1b000c1b000c1b000c1b000c1b000c1b000c1b000c1b000c1b000c1b000c1b000c1b000c10000000000000000000000000000000000000000000000005500","SET_REPORT Request"
"302","21.785591","3.6.0","host","USBHID","64","","SET_REPORT Response"
"303","21.825123","host","3.6.0","USBHID","154","001c000000380f030000000010b400c3b400c3b400c3b400c3b400c3b400c3b400c3b400c3b400c3b400c3b400c3b400c3b400c3b400c3b400c3b400c3b400c30000000000000000000000000000000000000000000000005300","SET_REPORT Request"
"304","21.825374","3.6.0","host","USBHID","64","","SET_REPORT Response"
"305","21.903494","host","3.6.0","USBHID","154","001d000000380f030000000010ba00c7ba00c7ba00c7ba00c7ba00c7ba00c7ba00c7ba00c7ba00c7ba00c7ba00c7ba00c7ba00c7ba00c7ba00c7ba00c7ba00c70000000000000000000000000000000000000000000000005900","SET_REPORT Request"
"306","21.903826","3.6.0","host","USBHID","64","","SET_REPORT Response"
"307","21.942959","host","3.6.0","USBHID","154","001e000000380f030000000010be00cabe00cabe00cabe00cabe00cabe00cabe00cabe00cabe00cabe00cabe00cabe00cabe00cabe00cabe00cabe00cabe00ca0000000000000000000000000000000000000000000000005000","SET_REPORT Request"
"308","21.943271","3.6.0","host","USBHID","64","","SET_REPORT Response"
"309","21.987400","host","3.6.0","USBHID","154","001f000000380f030000000010c100ccc100ccc100ccc100ccc100ccc100ccc100ccc100ccc100ccc100ccc100ccc100ccc100ccc100ccc100ccc100ccc100cc0000000000000000000000000000000000000000000000002900","SET_REPORT Request"
"310","21.987685","3.6.0","host","USBHID","64","","SET_REPORT Response"
"311","22.022294","host","3.6.0","USBHID","154","0000000000380f030000000010c500cec500cec500cec500cec500cec500cec500cec500cec500cec500cec500cec500cec500cec500cec500cec500cec500ce0000000000000000000000000000000000000000000000002f00","SET_REPORT Request"
"312","22.022560","3.6.0","host","USBHID","64","","SET_REPORT Response"
"313","22.062695","host","3.6.0","USBHID","154","0001000000380f030000000010c800d0c800d0c800d0c800d0c800d0c800d0c800d0c800d0c800d0c800d0c800d0c800d0c800d0c800d0c800d0c800d0c800d00000000000000000000000000000000000000000000000003c00","SET_REPORT Request"
"314","22.062994","3.6.0","host","USBHID","64","","SET_REPORT Response"
"315","22.100855","host","3.6.0","USBHID","154","0002000000380f030000000010cb00d2cb00d2cb00d2cb00d2cb00d2cb00d2cb00d2cb00d2cb00d2cb00d2cb00d2cb00d2cb00d2cb00d2cb00d2cb00d2cb00d20000000000000000000000000000000000000000000000003d00","SET_REPORT Request"
"316","22.101135","3.6.0","host","USBHID","64","","SET_REPORT Response"
"317","22.179987","host","3.6.0","USBHID","154","0003000000380f030000000010cf00d5cf00d5cf00d5cf00d5cf00d5cf00d5cf00d5cf00d5cf00d5cf00d5cf00d5cf00d5cf00d5cf00d5cf00d5cf00d5cf00d50000000000000000000000000000000000000000000000003e00","SET_REPORT Request"
"318","22.180293","3.6.0","host","USBHID","64","","SET_REPORT Response"
