"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"129","2.707612","host","3.6.0","USB","154","000b000000380f03000000001000e30000e3000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"130","2.707917","3.6.0","host","USB","64","","URB_CONTROL out"
"131","2.746227","host","3.6.0","USB","154","000c000000380f03000000001000e70000e7000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"132","2.746459","3.6.0","host","USB","64","","URB_CONTROL out"
"133","2.786639","host","3.6.0","USB","154","000d000000380f03000000001000ea0000ea000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"134","2.786950","3.6.0","host","USB","64","","URB_CONTROL out"
"135","2.824634","host","3.6.0","USB","154","000e000000380f03000000001000ed0000ed000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"136","2.824920","3.6.0","host","USB","64","","URB_CONTROL out"
"137","2.866553","host","3.6.0","USB","154","000f000000380f03000000001000f10000f1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"138","2.866797","3.6.0","host","USB","64","","URB_CONTROL out"
"139","2.907249","host","3.6.0","USB","154","0010000000380f03000000001000f40000f4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"140","2.907498","3.6.0","host","USB","64","","URB_CONTROL out"
"141","2.945655","host","3.6.0","USB","154","0011000000380f03000000001000f80000f8000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"142","2.945981","3.6.0","host","USB","64","","URB_CONTROL out"
"143","2.986345","host","3.6.0","USB","154","0012000000380f03000000001000ff0000ff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"144","2.986576","3.6.0","host","USB","64","","URB_CONTROL out"
"145","3.026363","host","3.6.0","USB","154","0013000000380f03000000001000ff0000ff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"146","3.026640","3.6.0","host","USB","64","","URB_CONTROL out"
"147","3.066919","host","3.6.0","USB","154","0014000000380f03000000001000ff0000ff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"148","3.067270","3.6.0","host","USB","64","","URB_CONTROL out"
"149","3.106971","host","3.6.0","USB","154","0015000000380f03000000001000ff0000ff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"150","3.107307","3.6.0","host","USB","64","","URB_CONTROL out"
"151","3.145473","host","3.6.0","USB","154","0016000000380f03000000001000ff0000ff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"152","3.145767","3.6.0","host","USB","64","","URB_CONTROL out"
